Fe,Co,Mn,Al,Ni,B,Hf,Si,Cu,P,Mo,Cr,La,Ti,Sn,V,Ga,Nb,Zr,C,Gd,Y,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Primitive Cubic,Ms,Hc,Hc_log
26.04166666666667,26.04166666666667,0.0,0.0,26.04166666666667,0.0,0.0,0.0,20.83333333333334,0.0,0.0,0.0,0.0,0.0,1.041666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,82.2,529.8,6.274385302458052
25.90673575129534,25.90673575129534,0.0,0.0,25.90673575129534,0.0,0.0,0.0,20.72538860103627,0.0,0.0,0.0,0.0,0.0,1.55440414507772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,84.4,580.7,6.365954850916716
25.77319587628866,25.77319587628866,0.0,0.0,25.77319587628866,0.0,0.0,0.0,20.61855670103093,0.0,0.0,0.0,0.0,0.0,2.061855670103093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,86.1,685.0,6.530877627725885
25.64102564102565,25.64102564102565,0.0,0.0,25.64102564102565,0.0,0.0,0.0,20.51282051282051,0.0,0.0,0.0,0.0,0.0,2.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,88.8,1020.0,6.928537818164665
21.74,21.74,21.74,17.39,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,78.6,362.0,5.8944028342648505
21.64567086582683,21.64567086582683,21.64567086582683,17.31653669266147,17.31653669266147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4299140171965606,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,79.0,380.5,5.9441108507245115
21.55215521552156,21.55215521552156,21.55215521552156,17.24172417241724,17.24172417241724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600860086008602,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,79.7,383.4,5.951683677096137
21.45785421457854,21.45785421457854,21.45785421457854,17.16828317168283,17.16828317168283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28987101289871,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,81.0,464.1,6.142252436230051
21.37,21.37,21.37,17.09,17.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,82.8,685.8,6.532043129023321
22.22222222222222,22.22222222222222,0.0,22.22222222222222,11.11111111111111,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,89.21,580.915542285418,6.366325320852963
20.83333333333334,20.83333333333334,0.0,20.83333333333334,16.66666666666667,0.0,0.0,0.0,20.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,83.92,300.0070677282227,5.707133745297866
20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,73.73,462.345109681956,6.138472153713393
18.18181818181818,18.18181818181818,0.0,18.18181818181818,27.27272727272727,0.0,0.0,0.0,18.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,63.58,1090.211360179483,6.995043697756674
16.66666666666666,16.66666666666666,0.0,16.66666666666666,33.33333333333333,0.0,0.0,0.0,16.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,57.43,884.9014835909381,6.78660575208747
14.28571428571428,14.28571428571428,0.0,14.28571428571428,42.85714285714285,0.0,0.0,0.0,14.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,54.68,1974.3170690549616,7.588484205743499
31.25,31.25,0.0,3.125,31.25,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,143.37,86.07,4.466712392840524
27.77777777777778,27.77777777777778,0.0,8.333333333333334,27.77777777777778,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,113.84,131.9,4.8895969657192
25.0,25.0,0.0,12.5,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,107.07,78.85,4.380149874661021
22.72727272727273,22.72727272727273,0.0,15.90909090909091,22.72727272727273,0.0,0.0,15.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,78.27,380.7,5.944634959751184
20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,59.039,149.1,5.011301738639416
20.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1.0817,132.62,4.894999950497331
20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,6.1448,37.915,3.6613797804113513
10.0,35.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,99.0,302.3943918746011,5.71503358248058
20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,68.55844248601787,1582.0,7.367077059881012
19.04761904761905,19.04761904761905,0.0,19.04761904761905,23.80952380952381,0.0,0.0,0.0,19.04761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,64.35355910683042,705.3,6.560040076414876
18.18181818181818,18.18181818181818,0.0,18.18181818181818,27.27272727272727,0.0,0.0,0.0,18.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,51.67284766636584,424.7,6.053734872834107
17.39130434782609,17.39130434782609,0.0,17.39130434782609,30.43478260869566,0.0,0.0,0.0,17.39130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,44.90406506544469,306.3,5.727824469136439
43.95604395604396,21.97802197802198,6.593406593406594,5.494505494505495,21.97802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,90.0,91.51409227783982,4.527360981864076
41.66666666666667,20.83333333333334,6.25,10.41666666666667,20.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,63.0,119.36620731892152,4.790538823370869
37.73584905660378,18.86792452830189,5.660377358490567,18.86792452830189,18.86792452830189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,148.0,1209.5775674984045,7.09885285321685
28.5,38.0,3.0,2.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,143.71904761336776,440.6,6.090404494962885
20.0,20.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,38.8,1424.4367406724632,7.262233530428345
19.9,19.9,0.0,19.6,20.2,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,59.27,11.14,2.4965057856313524
