Fe,Si,B,Nb,Zr,Cu,Ni,C,P,Co,Gd,Mo,Al,Y,Mn,Cr,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Ms,Hc
64.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.65,243.50715
64.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,151.83,287.274775
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,140.87,177.457825
60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,154.5,338.204375
60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,142.31,452.0002
49.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,225.2,3397.95925
26.9,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,132.2,1392.60625
65.5,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,194.7,2657.8885
17.4,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,182.1,2522.60675
36.5,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,192.9,2299.78975
