Fe,Si,B,Nb,Zr,Cu,Ni,C,P,Co,Gd,Mo,Al,Y,Mn,Cr,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Ms,Hc
22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,16.66666666666666,0.0,16.66666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,180.59522538364223,88.60822
21.97802197802198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95604395604396,0.0,0.0,16.48351648351648,0.0,16.48351648351648,1.098901098901099,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,178.33909965634396,165.93896
21.85792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.71584699453552,0.0,0.0,16.39344262295082,0.0,16.39344262295082,1.639344262295082,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,174.8706721535427,199.20637
21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0,16.30434782608696,0.0,16.30434782608696,2.173913043478261,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,169.08862174375352,87.48865
21.62162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24324324324324,0.0,0.0,16.21621621621622,0.0,16.21621621621622,2.702702702702703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,164.6550690839258,71.33476
21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526315789473,0.0,0.0,15.78947368421053,0.0,15.78947368421053,5.263157894736842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,155.46181619411328,91.5671
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,15.0,0.0,15.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.91481983819835,78.3721
41.17647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647058823529,0.0,0.0,17.64705882352941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,171.34494,5360.73716646748
35.29411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411764705883,0.0,0.0,17.64705882352941,0.0,0.0,11.76470588235294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.43258,5246.75835397222
77.0,1.0,15.0,0.4,0.0,0.0,0.0,0.0,0.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,214.89068275769498,88.83
32.6,0.0,0.0,0.0,0.0,0.0,27.7,0.0,0.0,27.7,0.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,100.2,78.0
85.5,0.0,1.0,0.0,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,210.90614370599383,5.6
85.4,0.0,1.0,0.1,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,225.82431665092773,5.4
85.2,0.0,1.0,0.3,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,214.4866037636662,4.6
85.0,0.0,1.0,0.5,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206.89973109907132,4.1
84.5,0.0,1.0,1.0,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206.6390784762639,4.4
84.0,0.0,1.0,1.5,0.0,0.5,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196.43423290480212,2.5
68.8,0.0,14.0,0.0,0.0,0.0,12.9,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,181.19744423461353,2.0
77.4,0.0,14.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,182.20943423600198,2.6
60.2,0.0,14.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,143.51212370791083,3.3
87.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.0371665551728,6.7
86.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,204.9030298976669,6.8
69.6,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,212.87973292852251,9.3
65.25,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.75656214615094,10.3
60.2,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,207.43408811626458,14.8
86.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,203.48762341463154,3.5
73.5,15.5,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.05908353474024,1.0
83.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.19950101073607,6.8
83.0,3.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,210.370455698407,5.2
83.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.81455952781485,6.3
83.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,209.7527992873159,6.6
83.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,211.15368995882991,7.2
74.3,16.5,6.0,3.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.56339390015813,24.0
74.0,16.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.5641088566163,24.0
73.0,16.5,6.0,3.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.42601578430563,24.0
73.5,13.5,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,153.42121106962728,0.77
74.5,13.5,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,182.36128607350392,0.95
75.5,13.5,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.0221296781198,4.5
76.5,13.5,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,204.5531037936025,22.2
75.8,9.3,8.9,2.5,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,177.55157153298873,1.13313
77.8,7.3,8.9,2.5,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,187.98872948994565,3.01774
79.8,5.3,8.9,2.5,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,194.42141906477923,5.05244
82.8,2.3,8.9,2.5,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,202.34586649193486,13.82501
